"Source:","C:\Users\sucha\programming\CanSat\CanSat2.0\Schematics\Circuit\middle.sch"
"Date:","31/05/2018 18:28:51"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","22 pF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"","","C2","20 pF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"","","C3","20 pF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"","","C4","100 nF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"","","C5","100 nF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"","","C6","100 nF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"","","C7","100 nF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"","","CSTECE1","16MHZ","middle-cache:CRYSTAL","CanSat:Crystal_SMD",""
"","","IC1","ATMEGA2560-A","middle-cache:ATMEGA2560-A","CanSat:AtMega2560-AU",""
"","","J1","Conn_02x05_Counter_Clockwise","conn:Conn_02x05_Counter_Clockwise","Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm",""
"","","J2","Conn_02x08_Counter_Clockwise","conn:Conn_02x08_Counter_Clockwise","Pin_Headers:Pin_Header_Straight_2x08_Pitch1.27mm",""
"","","J3","Conn_01x08","conn:Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.27mm",""
"","","J4","Conn_02x07_Counter_Clockwise","conn:Conn_02x07_Counter_Clockwise","Pin_Headers:Pin_Header_Straight_2x07_Pitch1.27mm",""
"","","J5","Conn_01x04","conn:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch1.27mm",""
"","","Q1","BSS138","transistors:BSS138","TO_SOT_Packages_SMD:SOT-23",""
"","","Q2","BSS138","transistors:BSS138","TO_SOT_Packages_SMD:SOT-23",""
"","","Q3","BSS138","transistors:BSS138","TO_SOT_Packages_SMD:SOT-23",""
"","","Q4","BSS138","transistors:BSS138","TO_SOT_Packages_SMD:SOT-23",""
"","","R1","10k","middle-cache:R-RESCUE-main","Resistors_SMD:R_0805",""
"","","R2","2k","middle-cache:R-RESCUE-main","Resistors_SMD:R_0805",""
"","","R3","2k","middle-cache:R-RESCUE-main","Resistors_SMD:R_0805",""
"","","R4","1M","middle-cache:R-RESCUE-main","Resistors_SMD:R_0805",""
"","","R5","10k","device:R","Resistors_SMD:R_0805",""
"","","R6","10k","device:R","Resistors_SMD:R_0805",""
"","","R7","10k","device:R","Resistors_SMD:R_0805",""
"","","R8","10k","device:R","Resistors_SMD:R_0805",""
"","","R9","10k","device:R","Resistors_SMD:R_0805",""
"","","R10","10k","device:R","Resistors_SMD:R_0805",""
"","","R11","10k","device:R","Resistors_SMD:R_0805",""
"","","R12","10k","device:R","Resistors_SMD:R_0805",""
"","","U1","SD","middle-cache:SD","CanSat:SD",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","22 pF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"2","2","C2, C3","20 pF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"3","4","C4, C5, C6, C7","100 nF","middle-cache:C-RESCUE-main","Capacitors_SMD:C_0805",""
"4","1","CSTECE1","16MHZ","middle-cache:CRYSTAL","CanSat:Crystal_SMD",""
"5","1","IC1","ATMEGA2560-A","middle-cache:ATMEGA2560-A","CanSat:AtMega2560-AU",""
"6","1","J1","Conn_02x05_Counter_Clockwise","conn:Conn_02x05_Counter_Clockwise","Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm",""
"7","1","J2","Conn_02x08_Counter_Clockwise","conn:Conn_02x08_Counter_Clockwise","Pin_Headers:Pin_Header_Straight_2x08_Pitch1.27mm",""
"8","1","J3","Conn_01x08","conn:Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.27mm",""
"9","1","J4","Conn_02x07_Counter_Clockwise","conn:Conn_02x07_Counter_Clockwise","Pin_Headers:Pin_Header_Straight_2x07_Pitch1.27mm",""
"10","1","J5","Conn_01x04","conn:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch1.27mm",""
"11","4","Q1, Q2, Q3, Q4","BSS138","transistors:BSS138","TO_SOT_Packages_SMD:SOT-23",""
"12","1","R1","10k","middle-cache:R-RESCUE-main","Resistors_SMD:R_0805",""
"13","2","R2, R3","2k","middle-cache:R-RESCUE-main","Resistors_SMD:R_0805",""
"14","1","R4","1M","middle-cache:R-RESCUE-main","Resistors_SMD:R_0805",""
"15","8","R5, R6, R7, R8, R9, R10, R11, R12","10k","device:R","Resistors_SMD:R_0805",""
"16","1","U1","SD","middle-cache:SD","CanSat:SD",""
